순위,서명,저자,출판사,대출횟수
41,(플라톤의) 국가·政體,Plato, 서광사,16
201,맥베스 :윌리엄 셰익스피어 희곡,"Shakespeare, William", 열린책들,12
161,러시아의 역사,"Riasanovsky, Nicholas V", 까치글방,11
162,부자 아빠 가난한 아빠,"Kiyosaki, Robert T", 황금가지,11
42,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가,"Sandel, Michael J", 와이즈베리,10
184,(FLEX) 독일어,임우영, 한국외국어대학교 출판부,10
163,"처칠, 끝없는 투쟁",제바스티안 하프너 지음 ; 안인희 옮김,  돌베개 ,10
165,기후 위기와 글로벌 그린 뉴딜 : 인류의 생존 매뉴얼,"놈 촘스키, 로버트 폴린 [공]지음 ; 이종민 옮김", 현암사 ,9
44,국가 간의 정치 :세계평화의 권력이론적 접근,"Morgenthau, Hans J", 김영사 ,9
45,채식주의자 : 한강 연작소설,한강 지음,  창비,9
62,바벨탑에 도전한 사나이 =(La) homo kiu defiis babelon,"Centassi, Rene", 한국외국어대학교 출판부,9
21,파이썬 for beginner :쉽고 빠르게 익히는 프로그래밍의 기본 원리,우재남 지음, 한빛아카데미,9
1,파친코 : 이민진 장편소설,이민진 지음 ; 이미정 옮김, 문학사상,9
169,가을날의 꿈 외,욘 포세 지음 ; 정민영 옮김, 지만지드라마 ,8
121,지적 대화를 위한 넓고 얕은 지식,채사장, 한빛비즈,8
185,"(새로운 유형, 새로운 문제!) 플렉스 :스페인어",정혜정, 한국외국어대학교 지식출판원,8
102,인도사상의 사색,서행정, 한국외국어대학교 ,8
82,소년이 온다 :한강 장편소설,한강 지음, 창비 ,8
170,경제성장론,"Weil, David N", 시그마프레스,8
84,"(제도와 조직의) 경제사 :최신이론, 새로운 개념","オカザキ, テツジ", 한울아카데미,7
207,이화 한국어 =Ewha Korean,이화여자대학교, 이화여자대학교출판부,7
47,로미오와 줄리엣,"Shakespeare, William", 한국외국어대학교 지식출판콘텐츠원,7
176,(외국인을 위한) 한국어 문법 :중국어 버전,김진호, 역락 ,7
63,페스트의 밤,오르한 파묵 지음 ; 이난아 옮김, 민음사 ,7
83,(새) 연세한국어 듣기와 읽기 :영어판,연세대학교, 연세대학교 대학출판문화원,7
86,해변의 카프카 :무라카미 하루키 장편소설 =Kafka on the shore,"ムラカミ, ハルキ", 문학사상,7
85,인간과 정치 :현대 정치학의 시각과 영역,김웅진, 명지사,7
87,중국언어와 문자,박흥수, 한국외국어대학교출판부,7
174,(한자에 반영된) 중국문화,박흥수,한국외국어대학교 지식출판원,7
103,행성 : 베르나르 베르베르 장편소설,베르나르 베르베르 지음 ; 전미연 옮김,  열린책들 ,7
2,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 :이미예 장편소설,이미예 지음, 팩토리나인 ,7
173,에세이 만드는 법 : 더 많은 독자를 상상하는 편집자의 모험,이연실 지음,  유유 ,7
172,메르켈 리더십 : 합의에 이르는 힘,케이티 마튼 지음 ; 윤철희 옮김, Mobidicbooks(모비딕북스) ,7
105,인도철학 이야기,서행정, 한국외국어대학교 출판부,7
104,해커스 토익 실전 1000제 :reading 2,해커스 어학연구소 지음, 해커스어학연구소,7
179,뮐러 산문선,"M?ller, Heiner", 커뮤니케이션북스,6
180,반조류의 중국,"Blecher, Marc J", 돌베개 ,6
64,(딱 한 번 읽고 바로 써먹는) 30일 기초 영문법,아티엔바나나(르네) 지음, 비에이블 ,6
65,(해커스) GSAT 삼성직무적성검사 :최신기출유형 :온라인 시험 대비,지은이: 해커스 취업교육연구소, 해커스잡,6
67,(외국인을 위한) 한국어 문법,국립국어원, 커뮤니케이션북스,6
177,(문화간 중재 원칙으로서의) 번역윤리,"Pym, Anthony",한국외국어대학교 지식출판원 ,6
178,미움받을 용기 2 :사랑과 진정한 자립에 대한 아들러의 가르침,"キシミ, イチロウ", 인플루엔셜 ,6
4,옷소매 붉은 끝동 :강미강 장편소설,강미강, 청어람 ,6
199,에우리피데스 비극,Euripides, 단국대학교 출판부,6
197,경제학원론,이준구, 문우사,6
89,우리 읍내,"Wilder, Thornton", 예니,6
198,프랑켄슈타인,메리 셸리 지음 ;김선형 옮김, 문학동네,6
5,사피엔스,"Harari, Yuval N", 김영사 ,6
191,"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐 지음 ; 김윤경 옮김, 모모 ,6
192,10배의 법칙 : 성공과 실패를 가르는 유일한 차이,그랜트 카돈 지음 ; 최은아 옮김, 부키 ,6
